iter	Passed	Remaining
409	4059	5842
410	4069	5831
411	4078	5821
412	4088	5811
413	4097	5800
414	4106	5788
415	4115	5777
416	4123	5765
417	4132	5754
418	4141	5742
419	4150	5732
420	4161	5722
421	4170	5712
422	4180	5702
423	4190	5692
424	4199	5681
425	4208	5671
426	4218	5660
427	4227	5649
428	4236	5638
429	4245	5628
430	4255	5617
431	4263	5606
432	4273	5595
433	4282	5584
434	4291	5573
435	4300	5562
436	4309	5551
437	4319	5542
438	4328	5531
439	4336	5519
440	4345	5508
441	4354	5497
442	4364	5487
443	4374	5477
444	4382	5466
445	4391	5455
446	4401	5445
447	4411	5435
448	4421	5425
449	4430	5414
450	4438	5403
451	4447	5392
452	4456	5380
453	4465	5370
454	4474	5359
455	4484	5350
456	4494	5339
457	4503	5329
458	4512	5318
459	4521	5308
460	4531	5298
461	4541	5288
462	4553	5281
463	4566	5274
464	4578	5267
465	4588	5257
466	4599	5249
467	4611	5242
468	4622	5233
469	4632	5224
470	4643	5215
471	4655	5208
472	4666	5199
473	4677	5190
474	4688	5182
475	4700	5174
476	4711	5165
477	4723	5158
478	4733	5148
479	4744	5139
480	4754	5129
481	4766	5122
482	4777	5113
483	4786	5103
484	4798	5095
485	4809	5086
486	4820	5077
487	4831	5068
488	4843	5060
489	4854	5052
490	4865	5043
491	4877	5036
492	4890	5029
493	4901	5020
494	4913	5013
495	4926	5005
496	4939	4998
497	4950	4990
498	4960	4980
499	4969	4969
500	4978	4958
501	4988	4948
502	4998	4939
503	5010	4930
504	5019	4920
505	5028	4909
506	5037	4898
507	5047	4888
508	5059	4880
509	5069	4870
510	5078	4859
511	5090	4851
512	5100	4842
513	5110	4832
514	5121	4823
515	5131	4813
516	5140	4802
517	5150	4792
518	5159	4781
519	5168	4770
520	5177	4759
521	5185	4748
522	5195	4738
523	5203	4727
524	5212	4715
525	5220	4704
526	5230	4694
527	5239	4683
528	5249	4674
529	5258	4663
530	5267	4652
531	5276	4641
532	5285	4631
533	5294	4620
534	5304	4610
535	5313	4599
536	5322	4588
537	5331	4578
538	5341	4568
539	5350	4557
540	5359	4546
541	5367	4535
542	5377	4525
543	5387	4515
544	5396	4505
545	5405	4494
546	5415	4484
547	5425	4475
548	5435	4465
549	5444	4454
550	5453	4444
551	5463	4434
552	5474	4424
553	5484	4415
554	5494	4405
555	5503	4394
556	5512	4384
557	5521	4373
558	5531	4364
559	5540	4353
560	5550	4343
561	5559	4332
562	5567	4321
563	5577	4311
564	5587	4301
565	5598	4292
566	5606	4281
567	5615	4271
568	5624	4260
569	5633	4249
570	5642	4239
571	5651	4228
572	5660	4218
573	5669	4207
574	5678	4196
575	5687	4186
576	5696	4175
577	5704	4165
578	5714	4155
579	5723	4144
580	5731	4133
581	5740	4122
582	5748	4112
583	5757	4101
584	5767	4091
585	5775	4080
586	5785	4070
587	5794	4059
588	5803	4049
589	5813	4039
590	5821	4029
591	5831	4018
592	5840	4008
593	5848	3997
594	5858	3987
595	5867	3977
596	5876	3966
597	5885	3956
598	5896	3947
599	5907	3938
